CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Premise,Total Incidents
2/1/2020,0:30:00,4E,700 S BROADWAY,COMMON ASSAULT,Inside,NA,213,SOUTHEAST,FELLS POINT,-76.59355364,39.2834456,BAR,1
2/1/2020,15:00:00,5B,500 N STREEPER ST,BURGLARY,,NA,221,SOUTHEAST,MCELDERRY PARK,-76.57718483,39.29733788,,1
2/1/2020,10:00:00,4D,FAYETTE ST & N LINWOOD AV,AGG. ASSAULT,Inside,HANDS,221,SOUTHEAST,,-76.576347,39.29463,ROW/TOWNHOUSE-OCC,1
2/1/2020,2:45:00,5E,2700 W BALTIMORE ST,BURGLARY,Inside,NA,835,SOUTHWEST,SHIPLEY HILL,-76.65970968,39.28767182,GROCERY/CONFECTION,1
2/1/2020,3:12:00,5G,3700 EDMONDSON AVE,BURGLARY,Inside,NA,815,SOUTHWEST,EDMONDSON VILLAGE,-76.67970459,39.29398705,OTHER - INSIDE,1
2/1/2020,22:25:00,4E,900 DESOTO RD,COMMON ASSAULT,Inside,NA,832,SOUTHWEST,MORRELL PARK,-76.66817123,39.27480563,ROW/TOWNHOUSE-OCC,1
1/31/2020,9:16:00,3AF,800 VINE ST,ROBBERY - STREET,Outside,FIREARM,712,WESTERN,POPPLETON,-76.62986434,39.2906613,STREET,1
1/31/2020,2:23:00,4E,700 N MARTIN LUTHER KING JR BLVD,COMMON ASSAULT,Outside,NA,123,CENTRAL,UPTON,-76.62420139,39.29857486,STREET,1
1/31/2020,18:00:00,4C,4000 HAYWARD AVE,AGG. ASSAULT,Inside,OTHER,634,NORTHWEST,WOODMERE,-76.68501903,39.34601144,ROW/TOWNHOUSE-OCC,1
1/31/2020,17:17:00,3AF,2300 CALVERTON HGT AVE,ROBBERY - STREET,Outside,FIREARM,723,WESTERN,BRIDGEVIEW/GREENLAWN,-76.6534816,39.29783293,STREET,1
1/31/2020,20:00:00,7A,2800 WOODBROOK AVE,AUTO THEFT,Outside,NA,732,WESTERN,WOODBROOK,-76.64705043,39.31503947,STREET,1
1/31/2020,21:45:00,7A,AV & E MONTGOMERY ST,AUTO THEFT,Outside,NA,942,SOUTHERN,,-76.609863,39.280059,STREET,1
1/31/2020,16:00:00,6G,1200 N FREMONT AVE,LARCENY,Inside,NA,724,WESTERN,SANDTOWN-WINCHESTER,-76.63642246,39.3025384,OTHER - INSIDE,1
1/31/2020,13:53:00,4A,1900 ARGONNE DR,AGG. ASSAULT,Inside,FIREARM,421,NORTHEAST,MORGAN STATE UNIVERS,-76.58205623,39.34049166,ROW/TOWNHOUSE-OCC,1
1/31/2020,12:30:00,4C,2700 N LONGWOOD ST,AGG. ASSAULT,Outside,OTHER,624,NORTHWEST,HANLON/LONGWOOD,-76.66857413,39.31712001,STREET,1
1/31/2020,16:04:00,4C,300 E LOMBARD ST,AGG. ASSAULT,Outside,OTHER,111,CENTRAL,DOWNTOWN,-76.61076527,39.28796105,STREET,1
1/31/2020,23:57:00,4E,1700 N FULTON AVE,COMMON ASSAULT,,NA,734,WESTERN,SANDTOWN-WINCHESTER,-76.64620581,39.30822604,,1
1/31/2020,16:50:00,4C,CHARLES ST & E REDWOOD ST,AGG. ASSAULT,Outside,OTHER,114,CENTRAL,,-76.6150875,39.288798,STREET,1
1/31/2020,16:00:00,6E,1000 MOSHER ST,LARCENY,Outside,NA,724,WESTERN,SANDTOWN-WINCHESTER,-76.6355457,39.30030002,STREET,1
1/31/2020,19:00:00,6E,0 S AUGUSTA AVE,LARCENY,Outside,NA,824,SOUTHWEST,IRVINGTON,-76.684851,39.286155,STREET,1
1/31/2020,15:30:00,5A,4300 WICKFORD RD,BURGLARY,Inside,NA,534,NORTHERN,KESWICK,-76.62679282,39.34188075,ROW/TOWNHOUSE-OCC,1
1/31/2020,12:00:00,5A,300 E 24TH ST,BURGLARY,Inside,NA,311,EASTERN,BARCLAY,-76.61194171,39.31645624,ROW/TOWNHOUSE-VAC,1
1/31/2020,9:00:00,5A,1200 E MADISON ST,BURGLARY,Inside,NA,324,EASTERN,OLDTOWN,-76.60156185,39.29921451,ROW/TOWNHOUSE-OCC,1
1/31/2020,21:00:00,3AF,3000 ELIZABETH AVE,ROBBERY - STREET,Outside,FIREARM,923,SOUTHERN,LAKELAND,-76.65129544,39.25499591,STREET,1
1/31/2020,21:30:00,5A,3900 W COLD SPRING LN,BURGLARY,Inside,NA,623,NORTHWEST,DOLFIELD,-76.68312365,39.33515934,ROW/TOWNHOUSE-OCC,1
